date,state,positive,death,positiveIncrease,deathIncrease,positive_previous7_avg,death_previous7_avg,state_long,population_2019,positive_population,death_population,positive_previous7_avg_population,death_previous7_avg_population,positive_population_1000000,death_population_1000000,positive_previous7_avg_population_1000000,death_previous7_avg_population_1000000,STAYHOME_x,END_STHM_x,CLBSNS_x,END_BSNS_x,FM_ALL_x,FM_EMP_x,CLREST_x,ENDREST_x,CLGYM_x,ENDGYM_x,CLMOVIE_x,END_MOV_x,CLOSEBAR_x,END_BRS_x,CLBAR2_x,CLMV2_x,CLGYM2_x,CLRST2_x,STAYHOME_y,END_STHM_y,CLBSNS_y,END_BSNS_y,FM_ALL_y,FM_EMP_y,CLREST_y,ENDREST_y,CLGYM_y,ENDGYM_y,CLMOVIE_y,END_MOV_y,CLOSEBAR_y,END_BRS_y,CLBAR2_y,CLMV2_y,CLGYM2_y,CLRST2_y,STAYHOME_z,END_STHM_z,CLBSNS_z,END_BSNS_z,FM_ALL_z,FM_EMP_z,Name,Party
2020-01-22,WA,2.0,,0,0,,,Washington,7614893.0,2.6264321770509447e-07,,,,0.26264321770509447,,,,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-01-23,WA,2.0,,0,0,,,Washington,7614893.0,2.6264321770509447e-07,,,,0.26264321770509447,,,,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-01-24,WA,2.0,,0,0,,,Washington,7614893.0,2.6264321770509447e-07,,,,0.26264321770509447,,,,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-01-25,WA,2.0,,0,0,,,Washington,7614893.0,2.6264321770509447e-07,,,,0.26264321770509447,,,,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-01-26,WA,2.0,,0,0,,,Washington,7614893.0,2.6264321770509447e-07,,,,0.26264321770509447,,,,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-01-27,WA,2.0,,0,0,,,Washington,7614893.0,2.6264321770509447e-07,,,,0.26264321770509447,,,,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-01-28,WA,2.0,,0,0,0.0,0.0,Washington,7614893.0,2.6264321770509447e-07,,0.0,0.0,0.26264321770509447,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-01-29,WA,3.0,,1,0,0.14285714285714285,0.0,Washington,7614893.0,3.939648265576417e-07,,1.8760229836078175e-08,0.0,0.3939648265576417,,0.018760229836078175,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-01-30,WA,3.0,,0,0,0.14285714285714285,0.0,Washington,7614893.0,3.939648265576417e-07,,1.8760229836078175e-08,0.0,0.3939648265576417,,0.018760229836078175,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-01-31,WA,3.0,,0,0,0.14285714285714285,0.0,Washington,7614893.0,3.939648265576417e-07,,1.8760229836078175e-08,0.0,0.3939648265576417,,0.018760229836078175,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
